"JDP","Dasyatis pastinaca"
"JDR","Dasyatis rudis"
"JDS","Dasyatis sabina"
"JDY","Dasyatis say"
"JDT","Dasyatis thetidis"
"JDO","Dasyatis tortonesei"
"RDW","Dasyatis ukpam"
"RDX","Dasyatis ushiei"
"RDZ","Dasyatis zugei"
"STI","Dasyatis spp"
"DYP","Pastinachus sephen"
"RTB","Taeniura grabata"
"RTY","Taeniura lymma"
"RTE","Taeniura meyeni"
"RUA","Urogymnus asperrimus"
"RUN","Urogymnus natalensis"
"DHK","Himantura alcockii"
"DHB","Himantura bleekeri"
"DHC","Himantura chaophraya"
"DHD","Himantura draco"
"DHF","Himantura fai"
"DHU","Himantura fluviatilis"
"DHG","Himantura gerrardi"
"DHR","Himantura granulata"
"DHM","Himantura imbricata"
"DHJ","Himantura jenkinsii"
"DHE","Himantura krempfi"
"DHN","Himantura marginata"
"DHX","Himantura oxyrhynchus"
"DHP","Himantura pacifica"
"DHH","Himantura schmardae"
"DHS","Himantura signifer"
"DHT","Himantura toshi"
"DHV","Himantura uarnak"
"DHL","Himantura undulata"
"DHW","Himantura walga"
"STT","Dasyatidae"
"PPT","Potamotrygon constellata"
"PPY","Potamotrygon hystrix"
"PPE","Potamotrygon laticeps"
"PPM","Potamotrygon magdalenae"
"PPR","Potamotrygon motoro"
"PPI","Potamotrygon scobina"
"PPP","Potamotrygon yepezi"
"QEX","Potamotrygon"
"MAF","Aetobatus flagellum"
"MAE","Aetobatus narinari"
"MAO","Aetobatus ocellatus"
"AQX","Aetobatus spp"
"MYL","Myliobatis aquila"
"MYR","Myliobatis australis"
"MYF","Myliobatis californica"
"MYH","Myliobatis chilensis"
"MYM","Myliobatis freminvillei"
"MYO","Myliobatis goodei"
"MYY","Myliobatis hamlyni"
"MYT","Myliobatis longirostris"
"MYD","Myliobatis tenuicaudatus"
"MYJ","Myliobatis tobijei"
"MWX","Myliobatis spp"
"MPA","Pteromylaeus asperrimus"
"MPO","Pteromylaeus bovinus"
"MRA","Rhinoptera adspersa"
"MRB","Rhinoptera bonasus"
"MRR","Rhinoptera brasiliensis"
"MRJ","Rhinoptera javanica"
